id	lastUpdated
CLI_longterm_temperature-anomaly	2025-1
CLI_current_floods	2025-1
CLI_current_drought	2025-1
CLI_accumulated_cyclones	2025-1
CLI_current_cyclones	2025-1
CLI_accumulated_drought	2025-1
CLI_longterm_relative-sea-level	2025-1
CLI_longterm_precipitation-anomaly	2025-1
CLI_accumulated_wildfires	2025-1
CLI_accumulated_heavy-precipitation	2025-1
CLI_current_heatwave	2025-1
CLI_accumulated_floods	2025-1
CLI_accumulated_heatwave	2025-1
CLI_current_heavy-precipitation	2025-1
CLI_current_wildfires	2025-1
VUL_soec_agriculture	2023-4
VUL_soec_poverty	2024-4
VUL_soec_inequality	2024-4
VUL_soec_insec	2025-1
VUL_soec_health	2022-4
VUL_soec_education	2022-4
VUL_polit_institutions	2024-4
VUL_polit_polsystem	2024-4
VUL_polit_civrights	2024-4
VUL_polit_gender	2023-4
VUL_polit_ethnic	2021-4
VUL_demogr_uprooted	2024-4
VUL_demogr_popgrowth	2025-1
VUL_demogr_dep	2024-2
CON_status_intensity	2025-1
CON_status_surrounding	2025-1
CON_persist_intensity	2025-1
CON_persist_surrounding	2025-1
CON_soctens_intensity	2025-1
CON_soctens_surrounding	2025-1
CON_soctens_history	2025-1
VUL_soec	2025-1
VUL_demogr	2025-1
CON_persist	2025-1
CLI_longterm	2025-1
VUL_polit	2024-4
CON_status	2025-1
CLI_accumulated	2025-1
CLI_current	2025-1
CON_soctens	2025-1
CLI	2025-1
CON	2025-1
VUL	2025-1
CLI_risk	2025-1
CON_risk	2025-1
CCVI	2025-1
