level	ready	supplementary	id	pillarId	dimensionId	label	rawUnit	description	dataSourceIds
-1	1		CCVI	CCVI		CCVI		The Climate—Conflict—Vulnerability Index (CCVI) presents a combined measure of climate and conflict risk. Following the IPCC risk definition, it takes hazards, exposure as well as vulnerability into account.	
0	1		CLI_risk	CLI	CLI_risk	Climate risk		Climate risk refers to the potential adverse impacts resulting from the interaction of climate hazards, vulnerability, and exposure. The CCVI captures climate risks with a direct link to human security. This entails risks related to living standards, human health, food security, water security, and peace and mobility. 	
0	1		CON_risk	CON	CON_risk	Conflict risk		Conflict risk refers to the potential adverse impacts resulting from the interaction of conflict hazards, vulnerability, and exposure. Conflict hazards capture the presence of current or recent violence and unrest, which are endogenously linked to socio-economic and political vulnerabilities. Conflicts take many different forms, involve different types actors and revolve around many different causes.	
1	1		CLI	CLI		Climate		"The climate pillar looks at physical climate conditions that can harm society, so called climate hazards. It covers three dimensions: extreme events in the past year, extreme events in the past seven years, and changes in average conditions like temperature and sea level in the past ten years. These hazards are key for assessing climate-related risks to human security.






"	
2	1		CLI_current	CLI	CLI_current	Current extreme events		This dimension looks at extreme climate and weather events from the past 12 months. Extreme events such as droughts or floods can have direct impacts and impacts that are beyond the time of its actual occurence. For example, a drought at the end of the growing season might still affect a household's food security several months later.	
3	1		CLI_current_drought	CLI	CLI_current	Droughts		Droughts are prolonged periods of abnormal dry conditions. By impacting crop systems, livestock, and water availability, droughts particularly drive risks to food security, and water security, among other things. This indicator measures the drought status in a grid cell over the past 12 months by combining the count of months in drought condition with the drought severity in the respective month. 	ECMWF_ERA5_LAND_MONTHLY_AGGR; MCD12C1v061
3	1		CLI_current_drought_exposure	CLI	CLI_current	Droughts exposure		"The ""Drought"" indicator, transformed by the number of people affected."	ECMWF_ERA5_LAND_MONTHLY_AGGR; MCD12C1v061
3	1		CLI_current_heatwave	CLI	CLI_current	Heatwaves	Number of heatwave days in the past 12 months	Heatwaves are periods of abnormally hot weather, lasting for at least three days. By impacting, for example, mortality and morbidity, labor productivity, and crop yields, heatwaves particularly drive risks related to human health and food security. This indicator measures the total number of heatwave days over the past 12 months in a grid cell. 	ECMWF_ERA5_LAND_DAILY_RAW
3	1		CLI_current_heatwave_exposure	CLI	CLI_current	Heatwaves exposure		"The ""Heatwaves"" indicator, transformed by the number of people affected."	ECMWF_ERA5_LAND_DAILY_RAW
3	1		CLI_current_heavy-precipitation	CLI	CLI_current	Heavy precipitation	Number of heavy precipitation days in the past 12 months	Heavy precipitation events are abnormal amounts of rainfall over a short period of time. Heavy precipitation events are hazardous events that can, for example, damage crops and drive both landslides and pluvial floods. This indicator shows the number of heavy precipitation days over the past 12 months for a grid cell.	ECMWF_ERA5_LAND_DAILY_RAW
