latitude,longitude,ccvi_2016,ccvi_2017,ccvi_2018,ccvi_2019,ccvi_2020,ccvi_2021,ccvi_2022,ccvi_2023,ccvi_2024,ccvi_2025,cli_risk_2015,cli_risk_2016,cli_risk_2017,cli_risk_2018,cli_risk_2019,cli_risk_2020,cli_risk_2021,cli_risk_2022,cli_risk_2023,cli_risk_2024,cli_risk_2025,con_risk_2016,con_risk_2017,con_risk_2018,con_risk_2019,con_risk_2020,con_risk_2021,con_risk_2022,con_risk_2023,con_risk_2024,con_risk_2025
-55.0764,-69,,,0.0700,0.0660,0.0722,0.0600,0.0597,0.0615,0.0585,0.0650,0.0765,0.0848,0.0747,0.0905,0.0855,0.0932,0.0772,0.0775,0.0795,0.0752,0.0840,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-53.0736,-69,,,0.0845,0.0945,0.0872,0.0845,0.0953,0.0862,0.0882,0.0860,0.1010,0.1230,0.1050,0.1087,0.1217,0.1130,0.1092,0.1227,0.1113,0.1140,0.1100,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-53.0736,-73,,,0.0665,0.0635,0.0568,0.0558,0.0568,0.0535,0.0527,0.0540,0.0703,0.0810,0.0740,0.0857,0.0820,0.0730,0.0720,0.0730,0.0690,0.0680,0.0700,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-53.0736,-71,,,0.0950,0.0983,0.0875,0.0827,0.0815,0.0780,0.0767,0.0740,0.1260,0.1375,0.1092,0.1227,0.1268,0.1130,0.1070,0.1052,0.1007,0.0988,0.0960,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-51.0708,-73,,,0.0857,0.0815,0.0670,0.0713,0.0705,0.0730,0.0678,0.0650,0.1050,0.0993,0.0970,0.1105,0.1055,0.0865,0.0920,0.0910,0.0945,0.0875,0.0840,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-51.0708,-71,,,0.0730,0.0695,0.0665,0.0725,0.0727,0.0725,0.0645,0.0630,0.0870,0.1035,0.0960,0.0940,0.0895,0.0860,0.0940,0.0938,0.0938,0.0828,0.0820,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-49.0681,-69,,,0.0600,0.0590,0.0587,0.0663,0.0583,0.0635,0.0612,0.0680,0.0793,0.0850,0.0735,0.0772,0.0755,0.0725,0.0800,0.0740,0.0815,0.0777,0.0880,,,0.0000,0.0000,0.0147,0.0242,0.0063,0.0000,0.0070,0.0000
-49.0681,-73,,,0.1222,0.1315,0.1105,0.1090,0.1085,0.1247,0.1212,0.1110,0.1028,0.1178,0.1190,0.1570,0.1685,0.1422,0.1397,0.1395,0.1603,0.1557,0.1440,,,0.0073,0.0147,0.0067,0.0135,0.0065,0.0060,0.0070,0.0000
-49.0681,-71,,,0.0620,0.0693,0.0703,0.0745,0.0703,0.0762,0.0760,0.0820,0.0742,0.0882,0.0938,0.0800,0.0895,0.0900,0.0958,0.0905,0.0983,0.0980,0.1060,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-49.0681,-75,,,0.0750,0.0740,0.0567,0.0645,0.0640,0.0612,0.0605,0.0550,0.0695,0.0735,0.0765,0.0968,0.0958,0.0728,0.0835,0.0828,0.0788,0.0780,0.0710,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
