Country_Code,NDGAIN_gain_2015,NDGAIN_gain_2016,NDGAIN_gain_2017,NDGAIN_gain_2018,NDGAIN_gain_2019,NDGAIN_gain_2020,NDGAIN_gain_2021,NDGAIN_gain_2022,NDGAIN_gain_2023
AFG,31.79596051,31.90392631,31.34654657,31.16517883,31.91051108,31.72781352,32.83351743,32.63359596,32.76501701
ALB,47.22591595,47.11394501,47.0640789,47.34086981,47.41209509,47.73860891,48.44331978,49.34868185,49.74745074
DZA,45.12344342,45.47144056,46.62461433,46.3534668,46.48753722,47.5316325,47.24647691,47.39189946,47.68939249
AND,,,,,,,,,
AGO,31.79046141,32.89710389,33.21314893,34.10287422,34.7745625,35.29214391,36.59583409,36.89423495,37.04335731
ATG,48.42954862,48.36844189,46.36437146,46.7231769,46.9746536,46.82527274,46.81790865,47.18520975,47.27845933
ARG,44.89969148,46.51209105,46.44157529,48.31508034,48.72079307,48.96867123,47.89406184,47.83339826,48.09040316
ARM,53.07100717,53.43007306,53.52561804,54.1303685,55.23856011,55.68976166,56.24415553,56.41347179,56.7140116
AUS,69.39358697,68.954985,68.36213319,69.1711576,69.26373159,68.31310408,69.21197399,69.14655499,69.19704177
AUT,69.72625628,69.21480572,69.259085,69.47542301,69.12379093,69.11934018,68.51652153,68.21384094,67.94332809
AZE,48.15141348,49.31233608,48.54457847,48.84785473,49.80613729,48.6316167,49.62333122,48.8168209,48.33048203
BHS,50.01322005,49.65912347,49.62485741,49.4509318,49.80261595,49.46131806,49.62610541,50.04519168,50.19016501
BHR,50.87417753,49.86047652,49.3857498,49.37196714,49.89240173,51.11194805,52.67902279,52.83350345,52.77531474
BGD,34.18728976,34.92164939,35.30631462,35.1374128,34.90483446,35.1730767,33.84702402,32.9617667,32.85754377
BRB,58.49585934,57.39379446,58.58917436,58.40644915,58.02269287,58.60019092,61.2124378,61.71658072,61.93159399
BLR,55.02920859,56.35378167,57.56724748,57.86500682,58.83697661,58.28697573,57.76869468,56.73578268,56.3404655
BEL,63.5995329,63.56173819,62.99738683,62.54307083,62.97013802,63.23063082,63.40342675,63.52597871,62.84331943
BLZ,42.75446293,42.88790055,42.74984281,43.19407571,42.73161738,42.63354117,42.04877906,42.11390101,42.15606273
BEN,34.36572231,34.34155031,34.82797832,35.88629601,36.22968303,37.75129962,37.15283098,37.86262045,38.00270021
BTN,46.70965325,48.50450002,49.89968008,50.68508106,50.76381696,51.11105691,50.58201683,50.32013077,50.37710116
BOL,39.42273706,39.86604602,40.71922925,40.8351209,40.58811056,40.3639083,40.05189452,39.97115404,40.18896237
BIH,48.89509905,48.97874896,48.96417591,49.05733735,48.47806909,48.46574311,48.54673894,48.4743131,48.89802223
