latitude,longitude,era5_t2m_2015_C,era5_t2m_2016_C,era5_t2m_2017_C,era5_t2m_2018_C,era5_t2m_2019_C,era5_t2m_2020_C,era5_t2m_2021_C,era5_t2m_2022_C,era5_t2m_2023_C,era5_t2m_2024_C
-55.0764,-69,2.3858,3.1378,3.0860,2.4748,3.0131,3.1910,3.5101,3.0625,2.4998,2.8757
-55.0764,-69,2.3858,3.1378,3.0860,2.4748,3.0131,3.1910,3.5101,3.0625,2.4998,2.8757
-53.0736,-73,3.3494,4.1409,4.0502,3.4865,3.8615,4.1129,4.6159,3.9718,3.4526,3.7902
-53.0736,-71,6.7072,7.4264,7.3339,6.8774,7.2597,7.2705,7.8070,7.2266,6.6601,7.0631
-53.0736,-71,6.7072,7.4264,7.3339,6.8774,7.2597,7.2705,7.8070,7.2266,6.6601,7.0631
-53.0736,-69,6.7829,7.4098,7.1432,6.8622,7.1430,7.1155,7.8273,7.1584,6.6396,6.8797
-53.0736,-69,6.7829,7.4098,7.1432,6.8622,7.1430,7.1155,7.8273,7.1584,6.6396,6.8797
-51.0708,-73,2.9343,3.5261,3.5574,3.1883,3.2942,3.6019,4.2480,3.3317,3.1708,3.4231
-51.0708,-73,2.9343,3.5261,3.5574,3.1883,3.2942,3.6019,4.2480,3.3317,3.1708,3.4231
-51.0708,-71,7.0362,7.5950,7.3505,7.2182,7.1800,7.3549,8.3388,7.4212,6.9895,7.0451
-51.0708,-71,7.0362,7.5950,7.3505,7.2182,7.1800,7.3549,8.3388,7.4212,6.9895,7.0451
-49.0681,-75,6.2577,6.5844,6.3266,5.8659,6.1705,6.1119,6.9708,5.8129,5.6265,5.8812
-49.0681,-73,0.8152,1.0449,1.1282,0.6900,0.6653,0.7208,1.7620,0.4979,0.2597,0.6102
-49.0681,-73,0.8152,1.0449,1.1282,0.6900,0.6653,0.7208,1.7620,0.4979,0.2597,0.6102
-49.0681,-71,7.4310,7.8781,7.4506,7.0311,7.5443,7.3010,8.3859,7.2401,6.6495,6.8349
-49.0681,-69,10.1333,10.3590,10.2995,10.5297,10.2337,10.4255,11.2414,10.2017,9.7804,9.8654
-47.0653,-73,4.3935,4.7381,4.0887,3.7735,3.9851,4.0332,5.0322,4.0147,3.5897,3.8003
-47.0653,-73,4.3935,4.7381,4.0887,3.7735,3.9851,4.0332,5.0322,4.0147,3.5897,3.8003
-47.0653,-71,6.2655,6.6936,5.7636,5.7143,6.1211,6.1101,7.4485,6.0125,5.5007,5.7198
-47.0653,-71,6.2655,6.6936,5.7636,5.7143,6.1211,6.1101,7.4485,6.0125,5.5007,5.7198
-47.0653,-69,10.0918,10.1768,9.6141,9.7806,9.9545,9.9515,10.8053,9.8565,9.4299,9.3712
-47.0653,-67,11.6970,11.7812,11.9773,12.0694,11.6421,12.0248,12.5144,11.6725,11.5284,11.4814
-45.0625,-73,7.2002,7.5886,6.5898,6.2315,6.6028,6.7349,7.4147,6.3125,6.0936,6.1609
-45.0625,-73,7.2002,7.5886,6.5898,6.2315,6.6028,6.7349,7.4147,6.3125,6.0936,6.1609
-45.0625,-71,8.0603,8.1675,7.3065,7.2545,7.5431,7.6524,8.8206,7.1365,7.1224,7.2049
-45.0625,-71,8.0603,8.1675,7.3065,7.2545,7.5431,7.6524,8.8206,7.1365,7.1224,7.2049
-45.0625,-69,12.8561,12.3137,12.2957,12.5030,12.5024,12.5358,13.4918,12.0462,12.0974,11.7264
-45.0625,-67,12.8411,12.5271,12.9826,13.1420,12.8503,13.2309,13.6638,12.4932,12.4217,12.3162
-45.0625,169,5.6051,6.3413,6.6987,6.4225,6.6071,6.8260,6.9636,7.2610,6.9899,6.3092
-43.0597,-71,8.4487,8.6385,7.6800,7.4777,7.8551,7.9657,8.9956,7.1838,7.6305,7.7571
-43.0597,-71,8.4487,8.6385,7.6800,7.4777,7.8551,7.9657,8.9956,7.1838,7.6305,7.7571
-43.0597,-69,11.2980,11.1016,10.6149,10.9069,10.8847,11.1178,11.9402,10.2794,10.6785,10.8327
-43.0597,-67,16.0564,15.4158,15.8290,15.9189,15.8622,16.2246,16.4700,15.2753,15.5928,15.3970
-43.0597,-65,14.8199,14.4794,15.1195,15.0098,14.6743,15.1331,14.9763,14.1272,14.4327,14.1117
-43.0597,147,10.6052,11.3247,11.0112,11.1220,11.0093,10.6874,10.8313,10.9069,11.2558,11.2975
-43.0597,171,7.4959,8.0736,8.2465,8.4115,8.1957,8.2610,8.6164,9.1935,8.8135,8.0708
-41.0569,-73,11.7274,11.8556,11.4462,11.0581,11.1089,11.1793,11.4196,10.8719,11.0090,10.9618
-41.0569,-73,11.7274,11.8556,11.4462,11.0581,11.1089,11.1793,11.4196,10.8719,11.0090,10.9618
-41.0569,-71,7.4418,7.6038,7.0870,6.8255,6.9778,7.1444,8.0168,6.6991,6.9478,6.8538
-41.0569,-71,7.4418,7.6038,7.0870,6.8255,6.9778,7.1444,8.0168,6.6991,6.9478,6.8538
-41.0569,-69,10.3655,10.1280,10.2841,9.8081,10.2407,10.2725,11.1227,9.7086,10.0190,10.1268
-41.0569,-67,11.9076,11.6502,12.0080,11.6754,11.9019,12.0215,12.3296,11.5501,11.5421,11.5294
-41.0569,145,11.9484,12.5238,12.3753,12.4780,12.0558,11.9526,12.1596,12.6397,12.7446,12.5509
-41.0569,147,12.9532,13.6584,13.3472,13.4461,13.0962,12.9724,13.2239,13.4886,13.6527,13.6375
-41.0569,175,12.6674,13.3892,13.0107,13.4194,13.1889,12.9068,13.2414,13.5739,13.2576,12.9897
-39.0542,-73,12.3825,12.4160,11.9005,11.5482,11.8540,11.7877,11.9192,11.5385,11.6514,11.5018
-39.0542,-71,6.0050,6.5857,5.5175,5.3381,5.5775,5.8615,6.4146,5.2864,5.6837,5.3282
-39.0542,-71,6.0050,6.5857,5.5175,5.3381,5.5775,5.8615,6.4146,5.2864,5.6837,5.3282
-39.0542,-69,13.9351,13.7372,14.1660,13.5994,13.9808,14.0627,14.4188,13.5527,14.0144,14.1102
-39.0542,-67,15.7844,15.2956,15.8220,15.5119,15.7905,15.9597,16.0129,15.4131,15.9048,15.8401
-39.0542,-65,15.8713,15.2054,15.8379,15.7025,15.6859,15.9945,16.4422,15.7097,16.3995,16.2498
-39.0542,-63,15.5795,15.1240,15.6960,15.7763,15.5808,15.7037,16.3496,15.5509,16.3277,16.0462
-39.0542,175,12.3403,13.0574,12.7523,12.9750,12.9092,12.6696,12.8992,13.5075,12.9371,12.5083
-39.0542,177,12.1575,13.0478,12.6431,12.8726,12.8986,12.7665,12.8086,12.8697,12.7296,12.7150
-37.0514,-73,13.1340,13.3557,12.7517,12.4026,12.8765,12.8334,12.8224,12.4425,12.7279,12.2725
-37.0514,-71,5.5068,6.1226,4.9561,5.0501,5.4551,6.0003,5.7753,5.1864,5.6083,5.2110
-37.0514,-71,5.5068,6.1226,4.9561,5.0501,5.4551,6.0003,5.7753,5.1864,5.6083,5.2110
-37.0514,-69,12.5326,12.5236,13.0732,12.4203,13.2552,13.2233,13.1815,12.5386,13.1865,13.2414
-37.0514,-67,17.1231,16.7561,17.2521,17.3913,17.8170,17.8476,17.7388,17.6290,17.8749,17.9250
-37.0514,-65,15.3883,14.8986,15.4979,15.5639,15.5534,15.6954,15.7767,15.8155,16.0222,15.8832
-37.0514,-63,15.5966,15.1626,15.6921,15.7683,15.8116,15.7169,15.7112,15.5743,16.2764,15.9599
-37.0514,-61,14.9366,14.4296,15.2183,14.9672,14.8690,14.7871,14.8925,14.4313,15.2955,14.8774
-37.0514,-59,14.8976,14.3533,15.2751,14.9502,14.3900,14.7131,14.8847,14.4220,14.9283,14.8432
-37.0514,-57,15.4800,14.9524,16.0240,15.6755,15.0511,15.3109,15.6229,15.0367,15.7567,15.4832
-37.0514,141,14.5051,14.3872,14.5042,14.5661,14.3425,13.8096,13.8889,14.2590,14.0861,14.5016
-37.0514,143,14.2684,14.2086,14.1538,14.4090,14.2802,13.3667,13.4051,13.8529,13.7991,14.2784
-37.0514,145,14.5583,14.4152,14.3952,14.7287,14.7043,13.7810,13.6715,14.0330,14.1193,14.6846
