latitude,longitude
-55.07638888888889,-69
-55.07638888888889,-69
-53.07361111111111,-73
-53.07361111111111,-71
-53.07361111111111,-71
-53.07361111111111,-69
-53.07361111111111,-69
-51.07083333333333,-73
-51.07083333333333,-73
-51.07083333333333,-71
-51.07083333333333,-71
-49.06805555555555,-75
-49.06805555555555,-73
-49.06805555555555,-73
-49.06805555555555,-71
-49.06805555555555,-69
-47.06527777777778,-73
-47.06527777777778,-73
-47.06527777777778,-71
-47.06527777777778,-71
-47.06527777777778,-69
-47.06527777777778,-67
-45.0625,-73
-45.0625,-73
-45.0625,-71
-45.0625,-71
-45.0625,-69
-45.0625,-67
-45.0625,169
-43.05972222222222,-71
-43.05972222222222,-71
-43.05972222222222,-69
-43.05972222222222,-67
-43.05972222222222,-65
-43.05972222222222,147
-43.05972222222222,171
-41.05694444444445,-73
-41.05694444444445,-73
-41.05694444444445,-71
-41.05694444444445,-71
-41.05694444444445,-69
-41.05694444444445,-67
-41.05694444444445,145
-41.05694444444445,147
-41.05694444444445,175
-39.05416666666667,-73
-39.05416666666667,-71
-39.05416666666667,-71
-39.05416666666667,-69
-39.05416666666667,-67
-39.05416666666667,-65
-39.05416666666667,-63
-39.05416666666667,175
-39.05416666666667,177
-37.05138888888889,-73
-37.05138888888889,-71
-37.05138888888889,-71
-37.05138888888889,-69
-37.05138888888889,-67
-37.05138888888889,-65
-37.05138888888889,-63
-37.05138888888889,-61
-37.05138888888889,-59
-37.05138888888889,-57
-37.05138888888889,141
-37.05138888888889,143
-37.05138888888889,145
-37.05138888888889,147
-37.05138888888889,149
-37.05138888888889,175
-35.04861111111111,-71
-35.04861111111111,-71
-35.04861111111111,-69
-35.04861111111111,-69
-35.04861111111111,-67
-35.04861111111111,-65
-35.04861111111111,-63
-35.04861111111111,-61
-35.04861111111111,-59
-35.04861111111111,-59
-35.04861111111111,139
-35.04861111111111,141
-35.04861111111111,143
-35.04861111111111,145
-35.04861111111111,147
-35.04861111111111,149
-33.04583333333333,-71
-33.04583333333333,-71
-33.04583333333333,-69
-33.04583333333333,-69
-33.04583333333333,-67
-33.04583333333333,-65
-33.04583333333333,-63
-33.04583333333333,-61
-33.04583333333333,-59
-33.04583333333333,-59
-33.04583333333333,-57
-33.04583333333333,-57
-33.04583333333333,-55
-33.04583333333333,-55
-33.04583333333333,-53
-33.04583333333333,-53
-33.04583333333333,19
-33.04583333333333,21
-33.04583333333333,23
-33.04583333333333,25
-33.04583333333333,27
-33.04583333333333,117
-33.04583333333333,119
-33.04583333333333,121
-33.04583333333333,123
-33.04583333333333,135
-33.04583333333333,137
-33.04583333333333,139
-33.04583333333333,141
-33.04583333333333,143
-33.04583333333333,145
-33.04583333333333,147
-33.04583333333333,149
-33.04583333333333,151
-31.04305555555555,-71
-31.04305555555555,-71
-31.04305555555555,-69
-31.04305555555555,-69
-31.04305555555555,-67
-31.04305555555555,-65
-31.04305555555555,-63
-31.04305555555555,-61
-31.04305555555555,-59
-31.04305555555555,-59
-31.04305555555555,-57
-31.04305555555555,-57
-31.04305555555555,-57
-31.04305555555555,-55
-31.04305555555555,-55
-31.04305555555555,-53
-31.04305555555555,-53
-31.04305555555555,19
-31.04305555555555,21
-31.04305555555555,23
-31.04305555555555,25
-31.04305555555555,27
-31.04305555555555,27
-31.04305555555555,29
-31.04305555555555,29
-31.04305555555555,117
-31.04305555555555,119
-31.04305555555555,121
-31.04305555555555,123
-31.04305555555555,125
-31.04305555555555,127
-31.04305555555555,129
-31.04305555555555,131
-31.04305555555555,133
-31.04305555555555,135
-31.04305555555555,137
-31.04305555555555,139
-31.04305555555555,141
-31.04305555555555,143
-31.04305555555555,145
-31.04305555555555,147
-31.04305555555555,149
-31.04305555555555,151
-31.04305555555555,153
-29.04027777777778,-71
-29.04027777777778,-71
-29.04027777777778,-69
-29.04027777777778,-69
-29.04027777777778,-67
-29.04027777777778,-65
-29.04027777777778,-63
-29.04027777777778,-61
-29.04027777777778,-59
-29.04027777777778,-57
-29.04027777777778,-57
-29.04027777777778,-57
-29.04027777777778,-55
-29.04027777777778,-55
-29.04027777777778,-53
-29.04027777777778,-51
-29.04027777777778,17
-29.04027777777778,17
-29.04027777777778,19
-29.04027777777778,19
-29.04027777777778,21
-29.04027777777778,21
-29.04027777777778,23
-29.04027777777778,25
-29.04027777777778,27
-29.04027777777778,27
-29.04027777777778,29
-29.04027777777778,29
-29.04027777777778,31
-29.04027777777778,117
-29.04027777777778,119
-29.04027777777778,121
-29.04027777777778,123
-29.04027777777778,125
-29.04027777777778,127
-29.04027777777778,129
-29.04027777777778,131
-29.04027777777778,133
-29.04027777777778,135
-29.04027777777778,137
-29.04027777777778,139
-29.04027777777778,141
-29.04027777777778,143
-29.04027777777778,145
-29.04027777777778,147
-29.04027777777778,149
-29.04027777777778,151
-29.04027777777778,153
-27.0375,-69
-27.0375,-69
-27.0375,-67
-27.0375,-65
-27.0375,-63
-27.0375,-61
-27.0375,-59
-27.0375,-59
-27.0375,-57
-27.0375,-57
-27.0375,-55
-27.0375,-55
-27.0375,-55
-27.0375,-53
-27.0375,-53
-27.0375,-51
-27.0375,-49
-27.0375,17
-27.0375,17
-27.0375,19
-27.0375,19
-27.0375,21
-27.0375,21
-27.0375,21
-27.0375,23
-27.0375,23
-27.0375,25
-27.0375,27
-27.0375,29
-27.0375,31
-27.0375,31
-27.0375,31
-27.0375,115
-27.0375,117
-27.0375,119
-27.0375,121
-27.0375,123
-27.0375,125
-27.0375,127
-27.0375,129
-27.0375,131
-27.0375,133
-27.0375,135
-27.0375,137
-27.0375,139
-27.0375,141
-27.0375,143
-27.0375,145
-27.0375,147
-27.0375,149
-27.0375,151
-27.0375,153
-25.03472222222223,-69
-25.03472222222223,-69
-25.03472222222223,-67
-25.03472222222223,-67
-25.03472222222223,-65
-25.03472222222223,-63
-25.03472222222223,-61
-25.03472222222223,-61
-25.03472222222223,-59
-25.03472222222223,-59
-25.03472222222223,-57
-25.03472222222223,-57
-25.03472222222223,-55
-25.03472222222223,-55
-25.03472222222223,-55
-25.03472222222223,-53
-25.03472222222223,-53
-25.03472222222223,-51
-25.03472222222223,-49
-25.03472222222223,15
-25.03472222222223,17
-25.03472222222223,19
-25.03472222222223,19
-25.03472222222223,19
-25.03472222222223,21
-25.03472222222223,21
-25.03472222222223,21
-25.03472222222223,23
-25.03472222222223,23
-25.03472222222223,25
-25.03472222222223,25
-25.03472222222223,27
-25.03472222222223,27
-25.03472222222223,29
-25.03472222222223,31
-25.03472222222223,31
-25.03472222222223,31
-25.03472222222223,33
-25.03472222222223,33
-25.03472222222223,33
-25.03472222222223,45
-25.03472222222223,115
-25.03472222222223,117
-25.03472222222223,119
-25.03472222222223,121
-25.03472222222223,123
-25.03472222222223,125
-25.03472222222223,127
-25.03472222222223,129
-25.03472222222223,131
