latitude,longitude
-89.12361111111112,37
-89.12361111111112,39
-89.12361111111112,41
-89.12361111111112,43
-89.12361111111112,45
-89.12361111111112,47
-89.12361111111112,49
-89.12361111111112,51
-89.12361111111112,53
-89.12361111111112,55
-89.12361111111112,57
-89.12361111111112,59
-89.12361111111112,61
-89.12361111111112,63
-89.12361111111112,65
-89.12361111111112,67
-89.12361111111112,69
-89.12361111111112,71
-89.12361111111112,73
-89.12361111111112,75
-89.12361111111112,77
-89.12361111111112,79
-89.12361111111112,81
-89.12361111111112,83
-89.12361111111112,85
-89.12361111111112,87
-89.12361111111112,89
-89.12361111111112,91
-89.12361111111112,93
-89.12361111111112,95
-89.12361111111112,97
-89.12361111111112,99
-89.12361111111112,101
-89.12361111111112,103
-89.12361111111112,105
-87.12083333333334,-79
-87.12083333333334,-77
-87.12083333333334,-75
-87.12083333333334,-73
-87.12083333333334,-71
-87.12083333333334,-69
-87.12083333333334,-33
-87.12083333333334,-31
-87.12083333333334,-29
-87.12083333333334,-27
-87.12083333333334,-25
-87.12083333333334,-23
-87.12083333333334,-21
-87.12083333333334,-19
-87.12083333333334,-17
-87.12083333333334,-15
-87.12083333333334,-13
-87.12083333333334,-11
-87.12083333333334,-9
-87.12083333333334,-7
-87.12083333333334,-5
-87.12083333333334,-3
-87.12083333333334,-1
-87.12083333333334,1
-87.12083333333334,3
-87.12083333333334,5
-87.12083333333334,7
-87.12083333333334,9
-87.12083333333334,11
-87.12083333333334,13
-87.12083333333334,15
-87.12083333333334,17
-87.12083333333334,19
-87.12083333333334,21
-87.12083333333334,23
-87.12083333333334,25
-87.12083333333334,27
-87.12083333333334,71
-87.12083333333334,73
-87.12083333333334,75
-87.12083333333334,77
-87.12083333333334,79
-87.12083333333334,81
-87.12083333333334,83
-87.12083333333334,85
-87.12083333333334,87
-87.12083333333334,89
-87.12083333333334,91
-87.12083333333334,93
-87.12083333333334,95
-87.12083333333334,97
-87.12083333333334,99
-87.12083333333334,101
-87.12083333333334,103
-87.12083333333334,105
-87.12083333333334,107
-87.12083333333334,109
-87.12083333333334,111
-87.12083333333334,113
-87.12083333333334,115
-85.11805555555556,-43
-85.11805555555556,-41
-85.11805555555556,-39
-85.11805555555556,-37
-85.11805555555556,-35
-85.11805555555556,-33
-85.11805555555556,-31
-85.11805555555556,-29
-85.11805555555556,-27
-85.11805555555556,-25
-85.11805555555556,-23
-85.11805555555556,-21
-85.11805555555556,-19
-85.11805555555556,-17
-85.11805555555556,-15
-85.11805555555556,-13
-85.11805555555556,-11
-85.11805555555556,-9
-85.11805555555556,-7
-85.11805555555556,-5
-85.11805555555556,-3
-85.11805555555556,-1
-85.11805555555556,1
-85.11805555555556,3
-85.11805555555556,5
-85.11805555555556,7
-85.11805555555556,9
-85.11805555555556,11
-85.11805555555556,13
-85.11805555555556,15
-85.11805555555556,17
-85.11805555555556,19
-85.11805555555556,21
-85.11805555555556,23
-85.11805555555556,25
-85.11805555555556,27
-85.11805555555556,29
-85.11805555555556,31
-85.11805555555556,33
-85.11805555555556,35
-85.11805555555556,37
-85.11805555555556,39
-85.11805555555556,41
-85.11805555555556,43
-85.11805555555556,45
-85.11805555555556,47
-85.11805555555556,49
-85.11805555555556,93
-85.11805555555556,95
-85.11805555555556,97
-85.11805555555556,99
-85.11805555555556,101
-85.11805555555556,103
-85.11805555555556,105
-85.11805555555556,107
-85.11805555555556,109
-85.11805555555556,111
-85.11805555555556,113
-85.11805555555556,115
-85.11805555555556,117
-83.11527777777778,-57
-83.11527777777778,-55
-83.11527777777778,-53
-83.11527777777778,-45
-83.11527777777778,-43
-83.11527777777778,-41
-83.11527777777778,-39
-83.11527777777778,-37
-83.11527777777778,-35
-83.11527777777778,-33
-83.11527777777778,-31
-83.11527777777778,-29
-83.11527777777778,-27
-83.11527777777778,-25
-83.11527777777778,-23
-83.11527777777778,-21
-83.11527777777778,-19
-83.11527777777778,-17
-83.11527777777778,-15
-83.11527777777778,-13
-83.11527777777778,-11
-83.11527777777778,-9
-83.11527777777778,-7
-83.11527777777778,-5
-83.11527777777778,-3
-83.11527777777778,-1
-83.11527777777778,1
-83.11527777777778,3
-83.11527777777778,5
-83.11527777777778,7
-83.11527777777778,9
-83.11527777777778,11
-83.11527777777778,13
-83.11527777777778,15
-83.11527777777778,17
-83.11527777777778,19
-83.11527777777778,21
-83.11527777777778,23
-83.11527777777778,25
-83.11527777777778,27
-83.11527777777778,29
-83.11527777777778,31
-83.11527777777778,33
-83.11527777777778,35
-83.11527777777778,37
-83.11527777777778,39
-83.11527777777778,41
-83.11527777777778,43
-83.11527777777778,45
-83.11527777777778,47
-83.11527777777778,49
-83.11527777777778,51
-83.11527777777778,53
-83.11527777777778,55
-83.11527777777778,57
-83.11527777777778,63
-83.11527777777778,65
-83.11527777777778,101
-83.11527777777778,103
-83.11527777777778,105
-83.11527777777778,107
-83.11527777777778,109
-83.11527777777778,111
-83.11527777777778,113
-83.11527777777778,115
-81.1125,-71
-81.1125,-69
-81.1125,-39
-81.1125,-37
-81.1125,-35
-81.1125,-33
-81.1125,-31
-81.1125,-29
-81.1125,-27
-81.1125,-25
-81.1125,-23
-81.1125,-21
-81.1125,-19
-81.1125,-17
-81.1125,-15
-81.1125,-13
-81.1125,-11
-81.1125,-9
-81.1125,-7
-81.1125,-5
-81.1125,-3
-81.1125,-1
-81.1125,1
-81.1125,3
-81.1125,5
-81.1125,7
-81.1125,9
-81.1125,11
-81.1125,13
-81.1125,15
-81.1125,17
-81.1125,19
-81.1125,21
-81.1125,23
-81.1125,25
-81.1125,27
-81.1125,29
-81.1125,31
-81.1125,33
-81.1125,35
-81.1125,37
-81.1125,39
-81.1125,41
-81.1125,43
-81.1125,45
-81.1125,47
-81.1125,49
-81.1125,51
-81.1125,53
-81.1125,55
-81.1125,57
-81.1125,59
-81.1125,61
-81.1125,63
-81.1125,65
-81.1125,67
-81.1125,73
-81.1125,75
-81.1125,77
-79.10972222222222,-91
-79.10972222222222,-89
-79.10972222222222,-47
-79.10972222222222,-33
-79.10972222222222,-29
-79.10972222222222,-27
-79.10972222222222,-25
-79.10972222222222,-23
-79.10972222222222,-21
-79.10972222222222,-19
-79.10972222222222,-17
-79.10972222222222,-15
-79.10972222222222,-13
-79.10972222222222,-11
-79.10972222222222,-9
-79.10972222222222,-7
-79.10972222222222,-5
-79.10972222222222,-3
-79.10972222222222,-1
-79.10972222222222,1
-79.10972222222222,3
-79.10972222222222,5
-79.10972222222222,7
-79.10972222222222,9
-79.10972222222222,11
-79.10972222222222,13
-79.10972222222222,15
-79.10972222222222,17
-79.10972222222222,19
-79.10972222222222,21
-79.10972222222222,23
-79.10972222222222,25
-79.10972222222222,27
-79.10972222222222,29
-79.10972222222222,31
-79.10972222222222,33
-79.10972222222222,35
-79.10972222222222,37
-79.10972222222222,39
-79.10972222222222,41
-79.10972222222222,43
-79.10972222222222,45
-79.10972222222222,47
-79.10972222222222,49
-79.10972222222222,51
-79.10972222222222,53
-79.10972222222222,55
-79.10972222222222,57
-79.10972222222222,59
-79.10972222222222,61
-79.10972222222222,63
-79.10972222222222,65
-77.10694444444445,-91
-77.10694444444445,-89
-77.10694444444445,-23
-77.10694444444445,-21
-77.10694444444445,-19
-77.10694444444445,-17
-77.10694444444445,-15
-77.10694444444445,-13
-77.10694444444445,-11
-77.10694444444445,-9
-77.10694444444445,-7
-77.10694444444445,-5
-77.10694444444445,-3
-77.10694444444445,-1
-77.10694444444445,1
-77.10694444444445,3
-77.10694444444445,5
-77.10694444444445,7
-77.10694444444445,9
-77.10694444444445,11
-77.10694444444445,13
-77.10694444444445,15
-77.10694444444445,17
-77.10694444444445,19
-77.10694444444445,21
-77.10694444444445,23
-77.10694444444445,25
-77.10694444444445,27
-77.10694444444445,29
-77.10694444444445,31
-77.10694444444445,33
-77.10694444444445,35
-77.10694444444445,37
-77.10694444444445,39
-77.10694444444445,41
-77.10694444444445,43
-77.10694444444445,45
-77.10694444444445,47
-77.10694444444445,49
-77.10694444444445,51
-77.10694444444445,53
-77.10694444444445,55
-77.10694444444445,57
-77.10694444444445,59
-77.10694444444445,61
-77.10694444444445,63
-77.10694444444445,65
-77.10694444444445,67
-75.10416666666667,-75
-75.10416666666667,-73
-75.10416666666667,-71
-75.10416666666667,-69
