latitude,longitude,cmip5_prAdjust_2021_mm_year,cmip5_prAdjust_2022_mm_year,cmip5_prAdjust_2023_mm_year,cmip5_prAdjust_2024_mm_year,cmip5_prAdjust_2025_mm_year,cmip5_prAdjust_2026_mm_year,cmip5_prAdjust_2027_mm_year,cmip5_prAdjust_2028_mm_year,cmip5_prAdjust_2029_mm_year,cmip5_prAdjust_2030_mm_year,cmip5_prAdjust_2031_mm_year,cmip5_prAdjust_2032_mm_year,cmip5_prAdjust_2033_mm_year,cmip5_prAdjust_2034_mm_year,cmip5_prAdjust_2035_mm_year,cmip5_prAdjust_2036_mm_year,cmip5_prAdjust_2037_mm_year,cmip5_prAdjust_2038_mm_year,cmip5_prAdjust_2039_mm_year,cmip5_prAdjust_2040_mm_year,cmip5_prAdjust_2041_mm_year,cmip5_prAdjust_2042_mm_year,cmip5_prAdjust_2043_mm_year,cmip5_prAdjust_2044_mm_year,cmip5_prAdjust_2045_mm_year,cmip5_prAdjust_2046_mm_year,cmip5_prAdjust_2047_mm_year,cmip5_prAdjust_2048_mm_year,cmip5_prAdjust_2049_mm_year,cmip5_prAdjust_2050_mm_year
-55.25,-68.75,840.53,1102.46,846.02,785.41,1196.13,646.98,734.76,914.28,934.83,835.48,955.32,883.80,710.83,714.22,1066.94,907.54,1015.17,943.79,1210.87,1146.95,839.37,914.45,987.13,958.15,874.34,649.63,730.82,1030.42,997.46,957.14
-53.25,-72.75,386.43,529.55,401.48,305.28,577.21,280.94,278.87,470.98,418.81,336.79,391.44,400.08,367.54,333.07,417.55,342.66,471.79,355.27,511.73,470.79,318.16,390.62,360.41,455.24,370.64,348.03,330.84,510.69,490.83,433.81
-53.25,-70.75,779.61,907.54,814.31,681.54,978.91,618.20,648.70,841.87,719.04,712.00,935.54,828.96,815.45,668.13,763.64,725.48,913.67,713.75,998.51,876.51,654.76,752.26,810.08,815.18,742.73,718.14,634.59,1036.31,928.82,734.25
-53.25,-68.75,669.76,630.48,711.17,629.80,710.88,563.63,622.99,667.70,515.27,568.25,799.29,649.62,709.22,541.47,593.87,594.55,723.54,702.12,767.94,608.00,553.00,607.51,690.94,605.72,585.94,611.76,489.93,819.25,805.71,569.68
-51.25,-72.75,834.01,997.66,685.80,702.30,1151.83,548.80,590.74,931.89,702.67,689.92,951.61,820.24,812.88,568.50,761.36,488.68,978.64,504.45,978.89,782.44,668.22,786.16,578.82,808.27,655.52,670.01,707.26,1059.33,823.10,692.13
-51.25,-70.75,525.69,752.09,530.38,680.28,613.04,560.08,645.59,561.06,498.24,538.59,808.56,553.76,839.54,506.16,491.90,451.11,786.12,484.81,815.41,601.56,507.12,615.82,554.24,490.65,599.57,648.26,508.05,849.58,566.34,473.81
-49.25,-74.75,2520.49,2541.57,1818.36,1438.86,2925.57,1685.92,1548.79,2179.11,2132.12,1875.81,2021.39,1760.78,1845.19,1554.41,2232.85,1625.58,2492.03,921.39,2626.70,2075.83,1694.16,1902.15,1272.70,2735.93,1500.76,2068.53,1562.45,2086.81,2169.18,1616.54
-49.25,-72.75,1496.30,2061.81,1219.84,862.04,1956.73,926.76,869.51,1783.44,1316.67,1287.75,1761.87,1101.75,1337.02,1227.29,1868.47,1228.24,1701.05,708.75,2102.62,1457.01,1069.03,1089.91,698.44,1703.50,1069.74,1443.58,826.04,1743.59,1522.54,1151.96
-49.25,-70.75,134.51,262.36,123.34,178.96,166.85,149.41,138.21,248.21,163.29,154.96,263.40,105.45,218.85,204.93,174.78,162.62,219.46,120.78,252.04,192.80,152.96,185.78,230.42,157.96,164.40,383.40,116.93,262.09,186.09,160.68
-49.25,-68.75,286.63,255.46,177.67,294.32,200.18,269.88,309.17,268.18,266.20,234.10,425.83,129.41,326.58,375.25,214.48,266.18,388.04,190.46,216.97,195.57,256.18,249.93,368.90,207.40,258.73,528.83,158.48,387.43,233.67,206.41
-47.25,-72.75,2056.10,2695.30,1767.28,1635.54,2123.65,1973.34,1328.51,2443.43,1911.03,1704.09,2481.28,2100.75,2279.19,2094.55,2662.18,2085.83,2527.27,1442.07,3351.50,1965.39,1877.38,1824.47,1696.92,2429.95,1842.61,2966.68,1668.66,2291.00,2822.86,1772.14
-47.25,-70.75,295.13,566.48,231.98,427.27,173.30,495.07,341.96,636.58,435.48,481.02,668.13,238.99,381.91,346.83,499.60,528.64,266.62,341.83,494.68,246.37,251.35,311.02,373.11,282.49,435.26,661.99,224.00,460.54,405.67,333.31
-47.25,-68.75,151.62,127.48,89.60,195.39,114.58,155.50,164.97,209.26,159.41,157.13,183.93,81.29,134.74,212.16,85.26,154.80,154.29,150.22,100.45,102.84,139.93,150.63,182.73,163.06,90.34,244.13,95.79,181.88,139.27,83.39
-47.25,-66.75,356.38,146.32,201.74,235.58,190.16,225.02,271.90,216.63,179.45,243.46,311.28,198.82,221.42,301.55,158.58,262.98,252.44,216.16,142.49,131.24,323.63,225.66,331.57,272.90,244.81,544.77,195.29,268.45,200.26,129.66
-45.25,-72.75,3806.96,4741.86,3253.33,4062.56,3984.30,4348.07,4054.16,4773.39,2974.53,3651.95,5028.61,4099.62,4936.30,4597.46,3986.08,5155.90,5792.41,3184.17,5386.52,3649.14,4036.09,3508.19,3491.80,3716.40,4164.90,6310.12,3554.68,4639.40,5130.88,3351.71
-45.25,-70.75,615.26,776.56,557.35,621.70,544.60,762.78,658.32,770.46,483.47,661.17,843.20,520.72,637.65,805.61,609.49,727.54,736.49,518.06,686.80,589.93,800.19,647.90,790.29,696.19,620.25,1030.63,436.99,777.96,828.09,411.88
-45.25,-68.75,132.56,75.58,60.42,111.06,73.96,99.72,120.14,111.46,109.94,109.55,169.10,107.19,95.68,134.56,87.95,101.55,168.92,114.74,52.95,64.73,123.33,142.77,119.55,153.33,110.23,162.41,54.83,124.63,94.15,48.12
-45.25,-66.75,232.57,96.88,117.67,155.61,148.76,217.21,217.10,137.44,153.38,204.00,243.31,144.79,164.04,158.01,148.69,229.51,220.19,242.30,99.86,96.26,254.54,178.18,238.58,225.18,219.66,373.03,116.32,171.40,138.47,104.66
-45.25,169.25,632.63,650.49,571.70,401.05,729.22,586.40,499.58,475.46,460.09,476.43,549.72,686.09,632.87,443.72,582.83,661.77,579.50,526.34,566.49,517.53,480.10,552.49,377.53,567.20,556.55,595.07,646.06,449.16,597.65,508.86
-43.25,-70.75,688.26,716.43,583.61,804.85,705.85,725.29,778.75,675.19,672.85,732.63,1069.84,722.49,800.31,849.67,697.96,815.80,848.02,583.11,553.95,663.17,772.99,711.73,922.61,710.66,764.33,1150.04,537.14,784.35,843.67,507.22
-43.25,-68.75,68.80,39.55,46.40,80.37,40.30,59.51,60.30,44.24,67.92,63.61,108.70,53.06,94.15,74.44,64.72,52.16,88.25,81.49,21.99,40.64,77.28,105.37,108.91,97.00,72.90,125.41,49.82,40.73,86.91,44.26
-43.25,-66.75,170.21,100.24,111.50,148.16,87.19,187.02,192.37,133.27,138.33,177.40,164.27,79.05,156.72,136.40,209.48,129.63,167.42,211.35,59.66,120.62,220.38,155.31,236.56,147.31,172.47,278.41,119.89,104.51,143.71,149.04
-43.25,-64.75,213.33,105.35,128.64,173.91,93.02,225.86,203.74,159.43,164.55,178.08,195.72,73.92,178.26,162.81,213.78,155.76,188.60,240.33,74.89,118.37,246.63,172.94,271.76,164.01,173.43,291.27,130.03,139.47,128.51,183.87
-43.25,147.25,888.90,757.04,994.73,587.40,713.41,571.96,728.15,669.59,909.19,795.89,639.48,854.14,692.18,739.17,1014.62,767.80,899.92,706.31,773.59,769.29,688.25,705.52,733.00,626.72,743.17,662.36,864.89,594.57,798.34,633.55
-43.25,171.25,3336.69,2776.28,2621.34,2206.86,3141.91,2726.37,2258.21,2492.75,2250.26,2097.80,2511.42,2988.82,2952.85,2754.46,2707.92,3057.02,3073.83,2198.95,2856.83,2617.04,2116.17,2685.23,2388.76,2563.50,2101.50,3007.61,3100.43,1908.54,2506.19,2730.73
-41.25,-72.75,3011.52,3149.65,2409.72,3506.43,2574.00,3560.73,3005.54,3494.19,3053.20,3463.24,4511.13,3343.52,4014.76,4042.85,3178.43,3565.02,4483.47,2802.73,2801.36,2672.58,3028.83,2623.63,4317.07,2775.85,3285.57,4813.40,2608.79,2932.15,3915.54,2745.72
-41.25,-70.75,1203.07,1013.14,924.76,1510.42,852.54,1312.38,1267.58,1437.91,1374.26,1366.73,1864.98,1339.57,1399.08,1352.39,1185.58,1314.08,1457.87,1135.71,1004.18,1217.09,1295.28,1140.20,2168.27,1075.27,1346.23,1925.75,1093.37,1204.43,1598.07,1262.60
-41.25,-68.75,106.86,63.21,93.28,202.66,74.55,109.15,119.29,147.33,175.61,131.60,229.68,175.08,109.14,129.21,206.35,85.76,149.47,182.35,75.62,121.81,146.91,172.84,281.81,110.39,173.72,225.43,126.91,169.19,174.03,190.80
-41.25,-66.75,101.94,65.35,131.82,108.65,86.80,94.08,85.95,112.12,146.67,71.91,195.46,151.40,74.27,110.43,69.21,74.77,111.23,146.79,28.34,97.05,157.13,141.24,154.34,127.39,111.35,156.88,130.16,110.30,103.09,138.13
-41.25,145.25,1882.05,1678.00,2315.16,1067.88,1392.89,1366.92,1556.88,1341.36,1721.98,1818.82,1530.68,1747.99,1495.97,1677.35,2265.72,1556.98,1688.66,1488.02,1602.78,1552.11,1488.94,1516.49,1475.24,1398.40,1401.44,1321.78,1784.24,1169.34,1840.84,1372.50
-41.25,147.25,774.45,623.44,1048.22,399.46,608.85,583.02,574.73,513.66,779.98,749.72,641.68,661.85,648.11,714.38,982.95,636.55,750.63,750.56,669.35,582.29,592.31,594.88,592.99,582.58,536.00,549.91,760.79,478.62,763.92,516.07
-41.25,175.25,1115.93,1225.58,995.36,682.07,1029.71,1253.62,975.55,898.15,1099.18,876.98,819.44,1168.28,1166.29,1317.78,1066.46,953.80,1326.71,883.81,1010.06,998.46,991.13,1146.37,1305.64,1105.84,981.36,1325.52,1528.59,972.22,885.55,1104.43
-39.25,-72.75,1533.26,1327.14,1270.53,1905.31,985.13,1467.38,1657.75,1722.17,1634.61,1726.96,2291.90,1659.83,1900.75,1951.83,1609.49,1556.66,1732.02,1335.78,1215.15,1265.89,1616.65,1207.56,2295.11,1402.40,1513.50,2174.54,1331.10,1474.49,1951.46,1514.37
-39.25,-70.75,1256.99,972.15,1370.57,1952.90,964.88,1222.92,1673.01,1485.13,1609.10,1717.33,2420.81,1791.91,1636.06,1774.62,1476.07,1476.00,1824.17,1517.95,1190.58,1398.43,1619.18,1105.10,2556.68,1504.13,1474.14,2205.44,1417.40,1563.28,2324.90,1668.50
-39.25,-68.75,100.80,77.63,170.47,134.85,42.35,145.39,128.28,127.80,173.94,64.10,144.40,118.61,113.20,56.88,141.46,104.59,138.06,141.71,90.46,125.15,138.60,201.66,214.77,99.58,173.45,152.02,144.62,70.50,124.36,81.37
-39.25,-66.75,202.99,283.55,359.45,542.84,150.72,295.96,272.07,349.71,242.46,190.62,315.90,411.27,195.68,163.09,146.52,166.10,216.80,322.91,154.86,261.75,204.27,214.78,347.58,282.17,233.34,296.21,329.80,315.44,280.65,277.37
-39.25,-64.75,310.48,375.58,572.11,892.59,233.10,510.07,435.83,580.63,417.75,267.30,495.69,490.27,336.14,208.94,237.26,251.84,348.91,466.14,204.10,418.36,298.14,292.38,506.83,436.05,356.04,369.81,593.66,471.03,379.77,405.72
-39.25,-62.75,489.60,540.53,624.10,1174.88,333.88,695.46,589.29,802.33,555.92,349.97,785.14,549.57,554.99,322.34,371.65,377.19,518.50,741.68,274.54,644.39,437.36,393.33,794.10,545.88,468.35,376.68,831.84,640.28,485.89,570.90
-39.25,175.25,1311.34,1442.95,1111.32,857.50,1183.80,1274.01,1068.01,1198.85,1266.88,1066.92,998.96,1306.48,1205.09,1719.73,1204.15,1072.69,1724.89,1068.25,1153.90,1234.47,1198.91,1260.17,1645.94,1389.80,1237.53,1605.38,1332.08,1351.27,1086.06,1380.39
-39.25,177.25,1036.34,1191.37,884.33,659.16,910.62,1063.15,852.19,923.89,1049.65,865.54,707.09,1127.02,961.33,1403.97,956.85,874.81,1220.82,895.24,902.29,1095.85,1050.76,1031.80,1306.80,1236.78,1067.86,1371.91,1014.73,1179.58,668.14,1196.51
-37.25,-72.75,1054.60,733.88,989.77,1278.42,509.48,757.64,1669.32,889.49,1231.38,1076.71,2179.49,1005.46,1711.56,1406.34,1250.69,1026.96,1298.73,787.54,893.51,570.43,1188.34,695.63,2047.56,932.71,1006.11,1729.68,757.13,1057.62,1704.85,1024.32
-37.25,-70.75,2511.36,1207.56,2191.62,2555.93,651.07,1124.83,3309.71,1455.67,2058.28,1746.04,4213.12,2432.96,2921.33,2179.74,1965.26,1857.77,2601.07,2131.06,1213.39,995.19,2316.71,1265.84,4224.33,1652.57,1650.27,3056.41,1344.58,2303.17,2974.58,1814.92
-37.25,-68.75,218.61,136.86,326.81,257.74,118.74,173.65,278.81,207.59,250.12,165.49,333.58,234.66,207.20,134.44,171.50,138.85,168.30,207.04,158.30,204.91,231.55,273.91,287.57,143.06,245.16,214.78,214.64,209.83,258.90,203.10
-37.25,-66.75,320.61,355.89,428.16,497.72,262.36,335.88,514.42,515.10,361.74,296.71,459.88,516.45,308.73,241.89,309.50,206.99,183.09,381.79,317.30,425.98,211.98,321.69,505.53,302.31,305.66,288.05,501.72,462.34,339.61,309.93
-37.25,-64.75,469.51,526.08,684.17,985.75,412.52,618.87,844.62,836.34,526.88,380.50,739.81,839.68,525.90,387.57,454.94,396.94,354.85,651.23,425.39,822.51,375.82,476.28,796.08,599.03,503.43,410.46,845.58,757.17,536.79,531.89
-37.25,-62.75,638.50,773.39,817.18,1406.51,539.70,786.00,1022.07,937.41,692.71,427.03,902.03,1135.07,790.00,501.59,569.75,606.81,515.33,809.97,475.50,1027.29,551.33,606.09,978.55,721.78,643.35,464.47,1098.46,1003.36,714.43,740.00
-37.25,-60.75,785.49,966.30,840.54,1555.42,672.27,847.51,965.40,878.81,851.24,490.59,947.08,1214.60,1013.89,654.31,650.68,799.35,708.46,867.45,542.83,1054.07,796.35,759.62,1128.11,806.32,782.84,428.53,1116.28,1213.94,839.62,920.26
-37.25,-58.75,881.40,1053.90,886.01,1402.59,790.43,957.77,909.91,986.87,978.19,654.03,976.84,1185.05,1279.33,969.96,775.00,965.30,908.89,954.52,691.11,1137.70,1117.86,956.85,1232.31,909.92,891.55,499.06,1057.51,1336.40,951.12,985.61
-37.25,-56.75,895.01,941.49,966.77,1292.14,873.76,851.26,981.28,943.22,865.93,752.76,927.57,1062.53,1270.16,1262.03,882.95,813.50,1134.98,897.32,809.34,1088.25,1381.84,1020.64,1375.91,747.55,868.75,686.00,1034.82,1278.61,1093.12,938.79
-37.25,141.25,713.25,633.12,851.45,386.61,445.22,510.42,544.51,397.15,596.26,848.70,512.93,498.41,530.19,574.75,927.70,671.05,434.57,573.25,686.26,524.13,619.37,685.03,640.51,536.17,453.56,532.97,735.59,425.74,612.13,460.50
-37.25,143.25,710.87,558.69,896.03,317.44,462.46,492.71,507.06,426.81,619.64,833.82,499.81,494.62,620.08,583.72,869.09,679.96,471.44,710.24,635.79,560.88,587.06,664.73,580.83,522.39,429.34,555.28,763.79,404.63,600.55,432.43
-37.25,145.25,899.05,653.66,1116.05,393.06,759.44,665.53,611.78,666.48,726.06,980.71,714.80,586.50,778.89,742.96,995.47,803.48,628.74,922.56,732.33,698.86,669.28,832.57,736.89,675.11,571.80,729.50,862.17,487.32,722.30,556.25
-37.25,147.25,991.93,710.53,1242.74,499.51,982.94,846.67,685.07,831.28,788.11,1039.86,944.74,645.37,944.33,872.29,1011.41,909.06,812.56,987.65,799.98,698.02,774.64,985.47,987.07,841.62,758.29,832.03,909.49,513.41,715.05,605.00
-37.25,149.25,763.45,550.68,1077.33,468.15,870.29,793.52,602.52,769.01,617.56,746.66,958.17,473.67,865.76,769.24,713.16,785.82,743.10,751.32,673.17,540.50,724.75,824.59,835.89,781.23,713.99,720.80,759.84,395.79,550.27,462.48
-37.25,175.25,1326.26,1372.96,1034.51,1035.80,1024.13,1437.77,961.33,1193.14,1250.03,1031.19,1031.19,1175.18,1145.25,1844.50,1113.88,1163.83,1663.22,1115.99,1043.52,1451.20,1440.43,1360.58,1571.37,1494.19,1370.90,1703.29,1131.42,1354.93,965.30,1457.63
-35.25,-70.75,3111.70,1273.37,2656.08,3200.17,1067.30,808.29,4751.79,2115.37,2411.82,1347.50,6415.88,2634.68,3475.03,2732.04,1528.52,2803.06,3013.06,940.34,1636.71,969.04,3521.20,1173.08,5311.26,1155.01,1236.97,2758.77,967.42,2019.64,3255.46,2037.92
-35.25,-68.75,478.65,335.14,697.70,503.25,234.00,223.22,514.59,536.44,539.14,350.00,770.10,407.85,413.74,352.28,329.30,301.23,299.44,347.10,304.84,362.72,431.03,598.16,597.10,319.95,335.39,401.31,353.50,286.10,458.52,511.77
-35.25,-66.75,455.81,496.46,696.63,567.04,459.36,299.46,504.96,813.26,489.52,271.75,669.41,636.19,318.45,382.10,392.66,365.12,277.03,537.83,567.34,629.01,275.19,514.23,582.72,476.57,447.74,327.68,566.94,474.68,539.19,588.01
