country_name,Count,lon_min,lon_max,lat_min,lat_max
Albania,1,19.3,21.1,39.6,42.7
Algeria,1,8.0,12.0,19.0,37.0
Argentina,1,286.4,306.4,-55.0,-22.0
Australia,2,113.3,153.6,-43.7,-10.0
Austria,1,9.5,17.2,47.0,49.0
Bangladesh,2,88.0,92.0,20.6,26.6
Belgium,6,2.5,6.5,49.5,51.5
Bosnia and Herzegovina,1,15.8,19.6,42.5,45.3
Canada,2,219.0,307.4,41.7,83.1
Canary Islands,1,341.8,346.6,27.6,29.5
China,3,73.5,135.0,18.1,53.6
Cyprus,2,32.2,34.6,34.5,35.6
Czechia,1,12.1,18.9,48.5,51.1
Democratic People's Republic of Korea,1,124.3,130.7,37.7,43.0
Egypt,3,25.0,34.9,22.0,31.0
France,7,0.0,9.6,41.3,51.1
Germany,3,5.8,15.0,41.7,55.0
Greece,3,19.3,28.2,34.9,41.7
India,12,68.7,97.4,6.5,35.0
Italy,3,6.6,18.7,36.0,47.1
Japan,10,122.93457,153.98,24.396,45.55
Kyrgyzstan,1,69.0,80.0,39.0,43.0
Lithuania,1,20.9,26.5,54.5,56.0
Mexico,1,241.5,273.3,14.5,32.7
Netherlands (Kingdom of the),4,3.4,7.2,50.7,53.7
Pakistan,7,60.9,77.0,23.6,37.0
Portugal,2,350.4,353.8,36.6,42.1
Republic of Korea,2,124.6,130.8,33.0,38.6
Romania,3,20.2,29.8,43.6,48.3
Russian Federation,1,30.0,180.0,41.0,81.0
Saudi Arabia,1,34.0,55.0,16.0,32.0
Serbia,1,18.8,21.0,41.9,46.2
Slovakia,1,17.1,22.5,47.7,49.6
South Africa,1,16.5,32.9,-34.8,-22.0
Spain,5,350.7,360.0,36.0,43.8
Sudan,1,22.0,38.0,8.0,22.0
Sweden,1,11.002,24.163,55.3423,69.1065
Switzerland,1,5.955,10.492,45.815,47.808
United Kingdom of Great Britain and Northern Ireland,2,351.8,360.0,49.9,58.6
United States of America,14,234.999,293.07,24.396308,49.384358
Yugoslavia,1,18.0,21.0,41.0,46.0
